Date,Google,OpenAI,Anthropic,DeepSeek,xAI
2023-01-01,79.53488372093024,20.46511627906977,0.0,0.0,0.0
2023-02-01,52.75080906148867,47.249190938511326,0.0,0.0,0.0
2023-03-01,32.76515151515152,67.23484848484848,0.0,0.0,0.0
2023-04-01,23.751686909581647,76.24831309041835,0.0,0.0,0.0
2023-05-01,23.037974683544306,76.83544303797468,0.0,0.0,0.12658227848101267
2023-06-01,23.785166240409207,75.8312020460358,0.38363171355498715,0.0,0.0
2023-07-01,20.210280373831775,78.85514018691589,0.8177570093457944,0.0,0.11682242990654204
2023-08-01,19.137168141592923,79.7566371681416,0.995575221238938,0.0,0.11061946902654869
2023-09-01,18.153846153846153,79.69230769230768,2.1538461538461537,0.0,0.0
2023-10-01,17.885375494071145,79.54545454545455,2.470355731225296,0.0,0.09881422924901186
2023-11-01,22.12962962962963,75.83333333333331,2.0370370370370368,0.0,0.0
2023-12-01,20.149875104079936,77.01915070774355,2.83097418817652,0.0,0.0
2024-01-01,19.171779141104295,77.99079754601227,2.837423312883436,0.0,0.0
2024-02-01,19.78609625668449,77.54010695187165,2.6737967914438503,0.0,0.0
2024-03-01,19.70995385629532,72.24785761371128,7.910349373764007,0.06591957811470008,0.06591957811470008
2024-04-01,21.764705882352942,69.28104575163398,8.954248366013072,0.0,0.0
2024-05-01,20.882535736482286,70.41640770665009,8.701056556867618,0.0,0.0
2024-06-01,20.3432930705658,70.12078830260647,9.408773045136682,0.06357279084551812,0.06357279084551812
2024-07-01,19.208715596330276,67.83256880733944,12.90137614678899,0.05733944954128439,0.0
2024-08-01,18.6084142394822,67.63754045307444,13.700107874865159,0.053937432578209286,0.0
2024-09-01,18.713758566157086,67.05324196099103,14.180284659989455,0.052714812862414334,0.0
2024-10-01,18.27956989247312,67.10654936461388,14.467253176930594,0.04887585532746823,0.09775171065493646
2024-11-01,18.966357874207702,65.28522671867381,15.699658703071673,0.04875670404680643,0.0
2024-12-01,17.759928603302097,65.90807675145024,16.198125836680052,0.0892458723784025,0.04462293618920125
2025-01-01,16.554986204178164,66.14111154907371,16.27906976744186,0.8671659440283801,0.1576665352778873
2025-02-01,15.361890694239294,67.28212703101921,16.32200886262925,0.2954209748892172,0.7385524372230431
2025-03-01,6.806282722513089,72.66464590796363,19.151281344723063,0.2480022044640397,1.1297878203361806
2025-04-01,7.342177493138152,73.21591948764868,18.16102470265325,0.20585544373284537,1.0750228728270814
2025-05-01,9.065934065934067,70.90025359256128,18.871513102282336,0.084530853761623,1.0777683854606934
2025-06-01,8.455728073856484,70.05874947545111,20.226605119597146,0.0839278220730172,1.1749895090222409
2025-07-01,6.568627450980393,68.70588235294117,21.725490196078432,0.1176470588235294,2.8823529411764706
2025-08-01,5.692742695570217,68.76531573986804,22.71442035815269,0.05655042412818096,2.7709707822808674
2025-09-01,6.235654169854629,67.98010711553177,23.25937260902831,0.05738332058148432,2.467482785003826
2025-10-01,5.961468556888405,65.06724827335513,25.917848055252634,0.09087604507451837,2.9625590694292985
2025-11-01,7.114624505928853,62.450592885375485,27.18289615522817,0.07186489399928135,3.1800215594681998
2025-12-01,7.147639772346837,61.53331101439572,27.937730164044194,0.13391362571141616,3.2474054235018417
2026-01-01,7.312348668280872,57.86924939467312,31.5092816787732,0.09685230024213073,3.2122679580306692
2026-02-01,7.136308068459657,52.536674816625904,37.270782396088016,0.13753056234718822,2.9187041564792167
