openrouter_author,openrouter_revenue,market_share,na_revenue,total_market_estimate
anthropic,30221532.467618592,0.7561320235471555,15604539.579664849,5201513193.221616
google,3977107.957238383,0.09950583051320416,2053533.8040128401,684511268.0042801
openai,3885527.295154671,0.09721451482915203,2006247.1858458626,668749061.9486208
x-ai,507935.8395804143,0.012708374554651623,262266.8099691979,87422269.98973264
deepseek,429214.55816301005,0.010738796013982163,221619.98463179913,73873328.2105997
meta-llama,192979.07785393353,0.004828268083238497,99642.52016821103,33214173.38940368
mistralai,152349.2541377218,0.0038117243042021256,78663.77949800337,26221259.832667787
nousresearch,110129.40374194285,0.0027553986215841505,56864.04689826286,18954682.299420953
microsoft,94363.38179657499,0.0023609383443095604,48723.44338241,16241147.794136666
perplexity,72782.37315422857,0.0018209891623013228,37580.3385815726,12526779.527190866
qwen,66798.33696195482,0.0016712706991528555,34490.5505402635,11496850.180087835
cohere,54141.51822542179,0.0013546015834096858,27955.34822587086,9318449.40862362
sao10k,46204.15909429285,0.0011560116731239769,23856.98442342549,7952328.141141829
thedrummer,35084.43797204428,0.0008778001945216017,18115.444726426926,6038481.5754756415
minimax,17032.362412628572,0.00042614366662737854,8794.463804502157,2931487.9348340523
neversleep,14426.2511808275,0.00036093968792768444,7448.828340475885,2482942.7801586282
alpindale,13912.664996928572,0.000348089943762214,7183.644040414103,2394548.013471368
amazon,11990.734873441428,0.0003000039337312647,6191.277597268326,2063759.199089442
eva-unit-01,11615.614460857141,0.00029061855405387366,5997.588500542883,1999196.1668476276
anthracite-org,10884.239578642857,0.00027231981390054796,5619.951519052485,1873317.173017495
gryphe,9083.695153429999,0.00022727083098806664,4690.261180606425,1563420.393535475
undi95,5075.405038631428,0.00012698483395220803,2620.6268293315075,873542.2764438358
aion-labs,5070.062334285714,0.00012685116138439674,2617.868185589187,872622.728529729
cognitivecomputations,3039.6184890985714,7.605017652351223e-05,1569.4719343250192,523157.3114416731
inflection,2218.464943214286,5.550520604732338e-05,1145.478775756275,381826.258585425
nvidia,1980.3626626628568,4.954797143662161e-05,1022.5374105275507,340845.8035091836
ai21,1969.4887937714284,4.927591109363696e-05,1016.9228137931797,338974.27126439323
raifle,1641.5616625714285,4.107129057824957e-05,847.6014233726505,282533.8077908835
01-ai,1531.9990011428572,3.83300716483372e-05,791.0300073285626,263676.66910952085
nothingiisreal,1400.2385606857142,3.503347216010567e-05,722.9970242112913,240999.00807043043
liquid,1326.9073482642857,3.319875123399804e-05,685.1332988068608,228377.7662689536
infermatic,1249.2388845,3.1255513817602525e-05,645.0300837167539,215010.02790558463
latitudegames,1242.7219850999998,3.109246330598948e-05,641.6651579065568,213888.38596885226
allenai,925.3442732514286,2.3151785521169784e-05,477.7908384440684,159263.61281468946
steelskull,792.1561753499999,1.9819466550035243e-05,409.0207008784107,136340.2336261369
openchat,598.9124651981429,1.4984577460560903e-05,309.24154087661645,103080.51362553882
aetherwiing,345.67605685714284,8.64869234024614e-06,178.4858433882989,59495.28112943296
scb10x,331.1133782657143,8.284339286892478e-06,170.96657232852158,56988.857442840526
mistral,328.2437346,8.212541820164385e-06,169.48486493300305,56494.95497766768
arcee-ai,313.01165090142854,7.831440488450613e-06,161.6199542700576,53873.3180900192
xwin-lm,268.6363366071429,6.721185863579062e-06,138.70727275706045,46235.75758568681
sophosympatheia,268.45665508571426,6.7166902956412874e-06,138.6144962767191,46204.8320922397
inception,265.97995342857143,6.654724098601327e-06,137.3356799533802,45778.559984460066
mancer,202.02252782142855,5.054531993948392e-06,104.31200121142746,34770.66707047582
teknium,195.26192988714283,4.885384231441067e-06,100.82124447495826,33607.08149165275
pygmalionai,187.09003973571427,4.680926438209523e-06,96.60178328630835,32200.594428769447
inflatebot,162.8534741142857,4.0745361624417415e-06,84.08751228036394,28029.170760121313
all-hands,122.07179602857143,3.0541930409392177e-06,63.03036335862945,21010.12111954315
jondurbin,121.14873342857143,3.0310983420735485e-06,62.55375063584176,20851.250211947252
thudm,99.27817878857142,2.4839048218984636e-06,51.26114210003129,17087.047366677096
tokyotech-llm,89.59183978571428,2.2415560555398516e-06,46.259712721356046,15419.904240452015
databricks,63.21186924,1.5815385487765002e-06,32.638719314351995,10879.573104783998
sentientagi,19.290228999999997,4.826346878367737e-07,9.960287164584614,3320.0957215282046
eleutherai,17.482497028571427,4.3740587506721123e-07,9.026885619583295,3008.9618731944315
lizpreciatior,11.365958735714285,2.8437225635720113e-07,5.868681647508351,1956.227215836117
morph,9.4503297,2.364438973074965e-07,4.87956869832923,1626.5228994430765
alfredpros,6.498529085714285,1.6259089286508257e-07,3.355440510380659,1118.4801701268862
opengvlab,2.930517221428571,7.332050150179492e-08,1.5131387536243954,504.37958454146514
baidu,2.1142095999999997,5.289677433676449e-08,1.091647732233846,363.882577411282
sarvamai,1.2727435357142856,3.184359185449462e-08,0.6571664391637362,219.05547972124538
