week,openrouter_author,revenue,market_share
2024-02-12,neversleep,0.0,
2024-02-12,nousresearch,0.0,
2024-02-12,open-orca,0.0,
2024-02-12,openai,0.0,
2024-02-12,openchat,0.0,
2024-02-12,openrouter,0.0,
2024-02-12,perplexity,0.0,
2024-02-12,phind,0.0,
2024-02-12,pygmalionai,0.0,
2024-02-12,recursal,0.0,
2024-02-12,rwkv,0.0,
2024-02-12,teknium,0.0,
2024-02-12,togethercomputer,0.0,
2024-02-12,undi95,0.0,
2024-02-12,xwin-lm,0.0,
2024-02-19,01-ai,0.0,
2024-02-19,alpindale,0.0,
2024-02-19,anthropic,0.0,
2024-02-19,austism,0.0,
2024-02-19,codellama,0.0,
2024-02-19,cognitivecomputations,0.0,
2024-02-19,gemma,0.0,
2024-02-19,google,0.0,
2024-02-19,gryphe,0.0,
2024-02-19,haotian-liu,0.0,
2024-02-19,huggingfaceh4,0.0,
2024-02-19,intel,0.0,
2024-02-19,jebcarter,0.0,
2024-02-19,jondurbin,0.0,
2024-02-19,koboldai,0.0,
2024-02-19,lizpreciatior,0.0,
2024-02-19,mancer,0.0,
2024-02-19,meta-llama,0.0,
2024-02-19,migtissera,0.0,
2024-02-19,mistralai,0.0,
2024-02-19,neversleep,0.0,
2024-02-19,nousresearch,0.0,
2024-02-19,open-orca,0.0,
2024-02-19,openai,0.0,
2024-02-19,openchat,0.0,
2024-02-19,openrouter,0.0,
2024-02-19,perplexity,0.0,
2024-02-19,phind,0.0,
2024-02-19,pygmalionai,0.0,
2024-02-19,recursal,0.0,
2024-02-19,rwkv,0.0,
2024-02-19,teknium,0.0,
2024-02-19,togethercomputer,0.0,
2024-02-19,undi95,0.0,
2024-02-19,xwin-lm,0.0,
2024-02-26,01-ai,0.0,
2024-02-26,alpindale,0.0,
2024-02-26,anthropic,0.0,
2024-02-26,austism,0.0,
2024-02-26,codellama,0.0,
2024-02-26,cognitivecomputations,0.0,
2024-02-26,google,0.0,
2024-02-26,gryphe,0.0,
2024-02-26,haotian-liu,0.0,
2024-02-26,huggingfaceh4,0.0,
2024-02-26,intel,0.0,
2024-02-26,jebcarter,0.0,
2024-02-26,jondurbin,0.0,
2024-02-26,koboldai,0.0,
2024-02-26,lizpreciatior,0.0,
2024-02-26,mancer,0.0,
2024-02-26,meta-llama,0.0,
2024-02-26,migtissera,0.0,
2024-02-26,mistralai,0.0,
2024-02-26,neversleep,0.0,
2024-02-26,nousresearch,0.0,
2024-02-26,open-orca,0.0,
2024-02-26,openai,0.0,
2024-02-26,openchat,0.0,
2024-02-26,openrouter,0.0,
2024-02-26,perplexity,0.0,
2024-02-26,phind,0.0,
2024-02-26,pygmalionai,0.0,
2024-02-26,recursal,0.0,
2024-02-26,rwkv,0.0,
2024-02-26,teknium,0.0,
2024-02-26,togethercomputer,0.0,
2024-02-26,undi95,0.0,
2024-02-26,xwin-lm,0.0,
2024-03-04,01-ai,0.0,
2024-03-04,alpindale,0.0,
2024-03-04,anthropic,0.0,
2024-03-04,austism,0.0,
2024-03-04,codellama,0.0,
2024-03-04,cognitivecomputations,0.0,
2024-03-04,google,0.0,
2024-03-04,gryphe,0.0,
2024-03-04,haotian-liu,0.0,
2024-03-04,huggingfaceh4,0.0,
2024-03-04,intel,0.0,
2024-03-04,jebcarter,0.0,
2024-03-04,jondurbin,0.0,
2024-03-04,koboldai,0.0,
2024-03-04,lizpreciatior,0.0,
2024-03-04,mancer,0.0,
2024-03-04,meta-llama,0.0,
2024-03-04,migtissera,0.0,
2024-03-04,mistralai,0.0,
2024-03-04,neversleep,0.0,
2024-03-04,nousresearch,0.0,
2024-03-04,open-orca,0.0,
2024-03-04,openai,0.0,
2024-03-04,openchat,0.0,
2024-03-04,openrouter,0.0,
2024-03-04,perplexity,0.0,
2024-03-04,phind,0.0,
2024-03-04,pygmalionai,0.0,
2024-03-04,recursal,0.0,
2024-03-04,rwkv,0.0,
2024-03-04,teknium,0.0,
2024-03-04,togethercomputer,0.0,
2024-03-04,undi95,0.0,
2024-03-04,xwin-lm,0.0,
2024-03-11,01-ai,0.0,
2024-03-11,alpindale,0.0,
2024-03-11,anthropic,0.0,
2024-03-11,austism,0.0,
2024-03-11,codellama,0.0,
2024-03-11,cognitivecomputations,0.0,
2024-03-11,cohere,0.0,
2024-03-11,google,0.0,
2024-03-11,gryphe,0.0,
2024-03-11,haotian-liu,0.0,
2024-03-11,huggingfaceh4,0.0,
2024-03-11,intel,0.0,
2024-03-11,jebcarter,0.0,
2024-03-11,jondurbin,0.0,
2024-03-11,koboldai,0.0,
2024-03-11,lizpreciatior,0.0,
2024-03-11,mancer,0.0,
2024-03-11,meta-llama,0.0,
2024-03-11,migtissera,0.0,
2024-03-11,mistralai,0.0,
2024-03-11,neversleep,0.0,
2024-03-11,nousresearch,0.0,
2024-03-11,open-orca,0.0,
2024-03-11,openai,0.0,
2024-03-11,openchat,0.0,
2024-03-11,openrouter,0.0,
2024-03-11,perplexity,0.0,
2024-03-11,phind,0.0,
2024-03-11,pygmalionai,0.0,
2024-03-11,recursal,0.0,
2024-03-11,rwkv,0.0,
2024-03-11,teknium,0.0,
2024-03-11,togethercomputer,0.0,
2024-03-11,undi95,0.0,
2024-03-11,xwin-lm,0.0,
2024-03-18,01-ai,0.0,
2024-03-18,alpindale,0.0,
2024-03-18,anthropic,0.0,
2024-03-18,austism,0.0,
2024-03-18,codellama,0.0,
2024-03-18,cognitivecomputations,0.0,
2024-03-18,cohere,0.0,
2024-03-18,google,0.0,
2024-03-18,gryphe,0.0,
2024-03-18,haotian-liu,0.0,
2024-03-18,huggingfaceh4,0.0,
2024-03-18,intel,0.0,
2024-03-18,jebcarter,0.0,
2024-03-18,jondurbin,0.0,
2024-03-18,koboldai,0.0,
2024-03-18,lizpreciatior,0.0,
2024-03-18,mancer,0.0,
2024-03-18,meta-llama,0.0,
2024-03-18,migtissera,0.0,
2024-03-18,mistralai,0.0,
2024-03-18,neversleep,0.0,
2024-03-18,nousresearch,0.0,
2024-03-18,open-orca,0.0,
2024-03-18,openai,0.0,
2024-03-18,openchat,0.0,
2024-03-18,openrouter,0.0,
2024-03-18,perplexity,0.0,
2024-03-18,phind,0.0,
2024-03-18,pygmalionai,0.0,
2024-03-18,recursal,0.0,
2024-03-18,rwkv,0.0,
2024-03-18,sophosympatheia,0.0,
2024-03-18,teknium,0.0,
2024-03-18,togethercomputer,0.0,
2024-03-18,undi95,0.0,
2024-03-18,xwin-lm,0.0,
2024-04-01,01-ai,0.0,
2024-04-01,alpindale,0.0,
2024-04-01,anthropic,0.0,
2024-04-01,austism,0.0,
2024-04-01,codellama,0.0,
2024-04-01,cognitivecomputations,0.0,
2024-04-01,cohere,0.0,
2024-04-01,databricks,0.0,
2024-04-01,google,0.0,
2024-04-01,gryphe,0.0,
2024-04-01,haotian-liu,0.0,
2024-04-01,huggingfaceh4,0.0,
2024-04-01,intel,0.0,
2024-04-01,jebcarter,0.0,
2024-04-01,jondurbin,0.0,
2024-04-01,koboldai,0.0,
2024-04-01,lizpreciatior,0.0,
2024-04-01,mancer,0.0,
2024-04-01,meta-llama,0.0,
2024-04-01,migtissera,0.0,
2024-04-01,mistralai,0.0,
2024-04-01,neversleep,0.0,
2024-04-01,nousresearch,0.0,
2024-04-01,open-orca,0.0,
2024-04-01,openai,0.0,
2024-04-01,openchat,0.0,
2024-04-01,openrouter,0.0,
2024-04-01,perplexity,0.0,
2024-04-01,phind,0.0,
2024-04-01,pygmalionai,0.0,
2024-04-01,recursal,0.0,
2024-04-01,rwkv,0.0,
2024-04-01,sophosympatheia,0.0,
2024-04-01,teknium,0.0,
2024-04-01,togethercomputer,0.0,
2024-04-01,undi95,0.0,
2024-04-01,xwin-lm,0.0,
2024-04-08,01-ai,0.0,
2024-04-08,alpindale,0.0,
2024-04-08,anthropic,0.0,
2024-04-08,austism,0.0,
2024-04-08,codellama,0.0,
2024-04-08,cognitivecomputations,0.0,
2024-04-08,cohere,0.0,
2024-04-08,databricks,0.0,
2024-04-08,google,0.0,
2024-04-08,gryphe,0.0,
2024-04-08,haotian-liu,0.0,
2024-04-08,huggingfaceh4,0.0,
2024-04-08,intel,0.0,
2024-04-08,jebcarter,0.0,
2024-04-08,jondurbin,0.0,
2024-04-08,koboldai,0.0,
2024-04-08,lizpreciatior,0.0,
2024-04-08,mancer,0.0,
2024-04-08,meta-llama,0.0,
2024-04-08,migtissera,0.0,
2024-04-08,mistralai,0.0,
2024-04-08,neversleep,0.0,
2024-04-08,nousresearch,0.0,
2024-04-08,open-orca,0.0,
2024-04-08,openai,0.0,
2024-04-08,openchat,0.0,
2024-04-08,openrouter,0.0,
2024-04-08,perplexity,0.0,
2024-04-08,phind,0.0,
2024-04-08,pygmalionai,0.0,
2024-04-08,recursal,0.0,
2024-04-08,rwkv,0.0,
2024-04-08,sophosympatheia,0.0,
2024-04-08,teknium,0.0,
2024-04-08,togethercomputer,0.0,
2024-04-08,undi95,0.0,
2024-04-08,xwin-lm,0.0,
2024-04-15,01-ai,0.0,
2024-04-15,allenai,0.0,
2024-04-15,alpindale,0.0,
2024-04-15,anthropic,0.0,
2024-04-15,austism,0.0,
2024-04-15,codellama,0.0,
2024-04-15,cognitivecomputations,0.0,
2024-04-15,cohere,0.0,
2024-04-15,databricks,0.0,
2024-04-15,deepseek,0.0,
2024-04-15,fireworks,0.0,
2024-04-15,google,0.0,
2024-04-15,gryphe,0.0,
2024-04-15,haotian-liu,0.0,
2024-04-15,huggingfaceh4,0.0,
2024-04-15,intel,0.0,
2024-04-15,jebcarter,0.0,
2024-04-15,jondurbin,0.0,
2024-04-15,koboldai,0.0,
2024-04-15,liuhaotian,0.0,
2024-04-15,lizpreciatior,0.0,
2024-04-15,lynn,0.0,
2024-04-15,mancer,0.0,
2024-04-15,meta-llama,0.0,
2024-04-15,microsoft,0.0,
2024-04-15,migtissera,0.0,
2024-04-15,mistralai,0.0,
2024-04-15,neversleep,0.0,
2024-04-15,nousresearch,0.0,
2024-04-15,open-orca,0.0,
2024-04-15,openai,0.0,
2024-04-15,openchat,0.0,
2024-04-15,openrouter,0.0,
2024-04-15,perplexity,0.0,
2024-04-15,phind,0.0,
2024-04-15,pygmalionai,0.0,
2024-04-15,qwen,0.0,
2024-04-15,recursal,0.0,
2024-04-15,rwkv,0.0,
2024-04-15,sao10k,0.0,
2024-04-15,snowflake,0.0,
2024-04-15,sophosympatheia,0.0,
2024-04-15,teknium,0.0,
2024-04-15,togethercomputer,0.0,
2024-04-15,undi95,0.0,
2024-04-15,xwin-lm,0.0,
2024-04-22,01-ai,0.0,
2024-04-22,alpindale,0.0,
2024-04-22,anthropic,0.0,
2024-04-22,austism,0.0,
2024-04-22,codellama,0.0,
2024-04-22,cognitivecomputations,0.0,
2024-04-22,cohere,0.0,
2024-04-22,databricks,0.0,
2024-04-22,fireworks,0.0,
2024-04-22,google,0.0,
2024-04-22,gryphe,0.0,
2024-04-22,haotian-liu,0.0,
2024-04-22,huggingfaceh4,0.0,
2024-04-22,intel,0.0,
2024-04-22,jebcarter,0.0,
2024-04-22,jondurbin,0.0,
2024-04-22,koboldai,0.0,
2024-04-22,lizpreciatior,0.0,
2024-04-22,lynn,0.0,
2024-04-22,mancer,0.0,
2024-04-22,meta-llama,0.0,
2024-04-22,microsoft,0.0,
2024-04-22,mistralai,0.0,
2024-04-22,neversleep,0.0,
2024-04-22,nousresearch,0.0,
2024-04-22,open-orca,0.0,
2024-04-22,openai,0.0,
2024-04-22,openchat,0.0,
2024-04-22,openrouter,0.0,
2024-04-22,perplexity,0.0,
2024-04-22,phind,0.0,
2024-04-22,pygmalionai,0.0,
2024-04-22,recursal,0.0,
2024-04-22,rwkv,0.0,
2024-04-22,sao10k,0.0,
2024-04-22,sophosympatheia,0.0,
2024-04-22,teknium,0.0,
2024-04-22,togethercomputer,0.0,
2024-04-22,undi95,0.0,
2024-04-22,xwin-lm,0.0,
2024-04-29,01-ai,0.0,
2024-04-29,alpindale,0.0,
2024-04-29,anthropic,0.0,
2024-04-29,austism,0.0,
2024-04-29,codellama,0.0,
2024-04-29,cognitivecomputations,0.0,
2024-04-29,cohere,0.0,
2024-04-29,databricks,0.0,
2024-04-29,fireworks,0.0,
2024-04-29,google,0.0,
2024-04-29,gryphe,0.0,
2024-04-29,haotian-liu,0.0,
2024-04-29,huggingfaceh4,0.0,
2024-04-29,intel,0.0,
2024-04-29,jebcarter,0.0,
2024-04-29,jondurbin,0.0,
2024-04-29,koboldai,0.0,
2024-04-29,lizpreciatior,0.0,
2024-04-29,lynn,0.0,
2024-04-29,mancer,0.0,
2024-04-29,meta-llama,0.0,
2024-04-29,microsoft,0.0,
2024-04-29,mistralai,0.0,
