openrouter_author,market_share,attributed_prompt_tokens,attributed_completion_tokens,prompt_completion_ratio,prompt_price_qwavg,completion_price_qwavg,revenue
meituan,1.9068039693456978e-05,26838307756.42857,1603709889.0,16.73513890543115,1.745941453962694e-07,7.645407976547416e-07,5911.913044358571
cognitivecomputations,1.5106352422485845e-05,7296877038.142857,1228613427.0,5.939115492136695,5.522858200115027e-07,5.320288187084157e-07,4683.619468749941
inflection,1.350695561831064e-05,1208322538.2857141,116693127.14285713,10.354701839521972,2.5000000000000006e-06,1.0000000000000003e-05,4187.737617142858
kwaipilot,1.325289603328507e-05,330740139246.0,13017431064.142857,25.407481523527306,1.0478563582363162e-08,4.9417325805898486e-08,4108.968210381428
allenai,1.250503000288328e-05,17600336263.285713,6311804565.285713,2.788479282151064,1.3575945942132109e-07,2.356989033293683e-07,3877.0975508042857
baidu,1.1707415084742116e-05,9437597351.142857,1931714961.7142856,4.88560555681959,2.3604253178859978e-07,7.25846333298266e-07,3629.8025947028573
sourceful,1.1500726284580032e-05,651453909.5714285,1359076417.8571427,0.4793357466966991,0.0,2.623634788569403e-06,3565.7201702142856
raifle,1.1149646243318537e-05,698322486.2857143,69870901.71428572,9.994467928026413,4.5e-06,4.5e-06,3456.870246
liquid,1.0585031753947897e-05,109455949252.2857,55629122862.57143,1.967601565868482,1.7401948498827674e-08,2.4754455744376366e-08,3281.8154517785715
switchpoint,8.189918863310813e-06,2174373285.5714283,203238256.14285713,10.698641716562708,8.5e-07,3.4e-06,2539.2273636214286
01-ai,6.903687625734331e-06,606113726.4285715,107366379.28571428,5.645284217097729,2.9999999999999997e-06,3e-06,2140.440317142857
relace,6.7574058307646125e-06,1139650173.5714285,862262306.5714285,1.3216977767507474,8.745297486817827e-07,1.2738915711529985e-06,2095.086664342857
black-forest-labs,6.595737702109386e-06,398910632.71428573,0.0,inf,5.12636770776703e-06,,2044.9625858314287
bytedance,6.47777435008136e-06,18053373327.428574,424879043.57142854,42.490618449138765,1.0131507235881226e-07,4.220260965297418e-07,2008.3888692448172
prime-intellect,6.432857836889487e-06,2548333243.5714283,1349814698.2857141,1.8879133904882288,2e-07,1.1000000000000003e-06,1994.4628168285715
infermatic,6.222596763359361e-06,3880439440.285714,324787843.71428573,11.947612927592566,4.2064014583464364e-07,9.144560903969722e-07,1929.2728338357142
arcee-ai,6.206847730460859e-06,3083176220722.2856,78427419943.2857,39.31247799496484,2.4595718950103813e-10,1.4868021906300856e-08,1924.3899557567142
nothingiisreal,5.063449132913508e-06,1861202649.2857141,60350336.71428571,30.839971251480083,8.044433162628335e-07,1.2038896237002178e-06,1569.887175585714
latitudegames,4.008224065885164e-06,1612911685.142857,54718264.71428572,29.47666000675935,7.442549440956035e-07,7.731328700526642e-07,1242.7219850999998
writer,3.829171601450166e-06,1291649828.0,68703019.57142857,18.80048120238891,5.999999999999999e-07,6e-06,1187.2080142285713
opengvlab,2.7167242174919447e-06,7612549156.571428,331559941.14285713,22.95979764724188,9.452146914182582e-08,3.702260046148404e-07,842.3014424931501
inclusionai,2.697957136236308e-06,1015499011.2857143,120212813.42857143,8.447510563331985,5.556966778260825e-07,2.2640965205689136e-06,836.4828395185714
openchat,2.607112806924777e-06,10873947395.142857,3446599659.142857,3.1549783759472443,5.556470458595114e-08,5.922054568001683e-08,808.3171872492858
steelskull,2.554987747900766e-06,1069576425.8571428,55898992.14285714,19.134091418387314,7e-07,7.773427674501006e-07,792.1561753499999
baai,2.080785696605837e-06,66084329821.57143,0.0,inf,9.762270878237975e-09,,645.1331285250001
sophosympatheia,2.0174516529148165e-06,2093183035.857143,399642958.28571427,5.237632723058457,2.632859645754284e-07,1.8614398863630244e-07,625.4968489142857
thudm,2.0114766973258606e-06,3957397564.142857,1842640171.2857141,2.147677894909649,8.381515342104801e-08,1.5844356161692965e-07,623.6443555036531
pygmalionai,1.995171115367424e-06,578908928.5714285,59624208.14285714,9.709293365949392,9.461508400963636e-07,1.188338702692852e-06,618.5889232607143
mancer,1.6050294677172209e-06,248003169.85714284,92914224.57142857,2.6691625636555614,1.4263806125665829e-06,1.5485390646520906e-06,497.62821974999997
aetherwiing,1.2862276842680062e-06,399898646.57142854,55819537.28571428,7.164134029354868,8.278594281213953e-07,1.213304216339143e-06,398.7859448
scb10x,1.105629248588371e-06,359890311.14285713,81769683.85714287,4.401268222726771,7.655065473445219e-07,8.229733028178674e-07,342.7926563
xwin-lm,1.0905764156616893e-06,75425833.0,11754056.285714285,6.417004578382996,3.878109968257541e-06,3.8808692291684745e-06,338.12563017857144
mistral,1.0587037585835197e-06,2920539320.7142854,361898025.28571427,8.07006149980662,1.0000000000000001e-07,1e-07,328.2437346
teknium,9.256297816651818e-07,1487311553.142857,181045808.14285713,8.21511179076441,1.7200009533846468e-07,1.7215170722179744e-07,286.98507389571427
essentialai,9.230078509114244e-07,1688801772.142857,219012644.57142857,7.710978402400292,1.5e-07,1.4999999999999997e-07,286.17216250714284
ibm-granite,8.357385959135943e-07,10263583063.285713,769400228.0,13.3397192901348,1.7e-08,1.1e-07,259.11493715585715
stepfun-ai,6.123702303231703e-07,102082824.57142857,92728112.28571428,1.1008832386977803,5.7e-07,1.4199999999999997e-06,189.86112945142855
all-hands,6.005728457041538e-07,57994199.28571428,10422938.142857142,5.564093203935765,2.599569443145909e-06,3.400527145026162e-06,186.20343242857143
inflatebot,5.252608563977087e-07,169169282.85714287,11779021.714285715,14.361912810804371,8.999999999999999e-07,9e-07,162.8534741142857
intfloat,4.62094113661729e-07,14638897680.42857,0.0,inf,9.78687522300654e-09,,143.26906500071428
jondurbin,4.5153403533589837e-07,251316097.57142857,21445584.285714284,11.718780622770895,5.121412555777942e-07,5.262456027411304e-07,139.99498618571428
tencent,4.4700013489273803e-07,852345360.7142856,254789863.7142857,3.3452875569260563,9.695937830297923e-08,2.1957861591226366e-07,138.58928189714285
tokyotech-llm,2.889658126609319e-07,151992166.57142857,13465331.0,11.287666569164069,5.21046162730533e-07,7.721239551089705e-07,89.59183978571428
alfredpros,2.8137755101734803e-07,53213069.428571425,38519695.71428571,1.3814509289811554,7.787727800575824e-07,1.1889570048153845e-06,87.23915205714286
sentence-transformers,2.6499585218540317e-07,16432024061.428572,0.0,inf,4.999999999999999e-09,,82.16012030714285
eleutherai,2.524308002425028e-07,41498158.57142857,37554905.428571425,1.104999682407858,8e-07,1.2e-06,78.26441337142856
databricks,2.524273886056004e-07,53804907.28571428,14489783.0,3.7132997288996172,1.1442022252505588e-06,1.1525128410431386e-06,78.26335561714285
lizpreciatior,2.3065764799486396e-07,155602708.0,42632128.0,3.649893057179787,3.4999999999999993e-07,4e-07,71.51379899999999
upstage,1.5812077406230165e-07,11744188183.0,4161325919.8571424,2.822222630282027,2.425299762781033e-09,4.936183678306902e-09,49.0242459
thenlper,1.1544622935039003e-07,6693506083.857142,0.0,inf,5.347466598884631e-09,,35.79330021285714
sentientagi,6.485354742396507e-08,92564502.42857142,7972453.428571428,11.610541630364583,2e-07,2e-07,20.107391171428567
arliai,5.333066372475722e-08,648598059.7142856,141192559.0,4.5937127587175866,1.2352037323266985e-08,6.036645180130145e-08,16.534801248965316
agentica-org,2.0146063212994876e-08,1526673584.5714285,182590133.0,8.361205282496993,3.0203101226271554e-09,8.955133709224034e-09,6.24614673642857
sarvamai,1.9057421686397902e-08,12225443.142857142,5804430.142857143,2.106226251667722,2.1808513883610086e-07,5.586135865533841e-07,5.908621005142857
shisa-ai,1.7831527367170256e-08,328692828.7142857,40802137.57142857,8.05577472844096,1.1444351186247743e-08,4.330324197143075e-08,5.528541000414639
rekaai,1.4881861582647242e-09,260910762.0,74296434.14285713,3.511753491403382,1.2565488107933459e-09,1.7975917471401663e-09,0.46140176457142856
bigcode,0.0,0.0,0.0,,,,0.0
togethercomputer,0.0,0.0,0.0,,,,0.0
gemma,0.0,0.0,0.0,,,,0.0
codellama,0.0,0.0,0.0,,,,0.0
migtissera,0.0,0.0,0.0,,,,0.0
venice,0.0,5122179471.0,683190978.5714285,7.497434292400378,0.0,0.0,0.0
featherless,0.0,70407616.42857142,9711128.428571427,7.250199289036574,0.0,0.0,0.0
fireworks,0.0,0.0,0.0,,,,0.0
lynn,0.0,0.0,0.0,,,,0.0
intel,0.0,0.0,0.0,,,,0.0
bytedance-research,0.0,146781191.28571427,9870499.0,14.870696130531423,0.0,0.0,0.0
huggingfaceh4,0.0,51407801.428571425,21427518.42857143,2.3991486274968885,0.0,0.0,0.0
liuhaotian,0.0,0.0,0.0,,,,0.0
snowflake,0.0,0.0,0.0,,,,0.0
koboldai,0.0,0.0,0.0,,,,0.0
austism,0.0,0.0,0.0,,,,0.0
rwkv,0.0,0.0,0.0,,,,0.0
mattshumer,0.0,0.0,0.0,,,,0.0
recursal,0.0,0.0,0.0,,,,0.0
jebcarter,0.0,0.0,0.0,,,,0.0
open-orca,0.0,0.0,0.0,,,,0.0
open-r1,0.0,310082321.71428573,177831657.0,1.7436846000613138,0.0,0.0,0.0
jetmoe,0.0,0.0,0.0,,,,0.0
phind,0.0,0.0,0.0,,,,0.0
openrouter,0.0,4436166525944.857,331692474607.0,13.374335764478744,0.0,0.0,0.0
haotian-liu,0.0,0.0,0.0,,,,0.0
