QUARTER,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
Anthropic,24.278188105282805,31.07662868383811,33.321366335345814,29.313933476811986,29.891217839265266,33.19713989909213,30.689764051273947,36.76721290889521
Cohere,0.10321617924283338,0.2877972670956946,0.21706369913908796,0.12485640925479502,0.09584501352707894,0.10310171696255209,0.10079613088973033,0.08890582921762819
Cursor,0.3519386420885051,0.5154398457417223,0.7198386905392146,0.849405850697456,1.071584318087932,1.4290513435188135,1.6760234664783824,2.6463798363099102
Fireworks AI,0.5590642442014166,1.1129531900770733,1.6024666143540751,9.60540389250739,22.973861625969548,23.652332833414192,21.057092392875003,15.087736599755033
Hugging Face,0.3176861539460157,0.36759532162194103,0.35777662310108904,0.2516700030760567,0.138597320116356,0.08725726566143426,0.05321534723618288,0.04144926823251508
LangChain,0.09286116909527604,0.12086320780023029,0.10685888034313361,0.08545974953958631,0.08810460781156293,0.0790750324142821,0.08576924030813916,0.07215246530607244
Mistral AI,0.13897561567533073,0.12256058773275197,0.13955475466001951,0.13179142302134583,0.074232297728646,0.06384114148789939,0.04719206749234115,0.07754549385699464
OpenAI,47.8740027382558,52.495270820678016,51.629265419705085,41.104596299235446,32.35660861227929,31.823665538521777,34.674772108941696,32.958048666987814
OpenRouter,,,,,,0.0006040453019817338,0.0008142909688618798,0.005745737830156763
Perplexity AI,0.03454017595234486,0.0649646058149111,0.12765516003460173,0.17003640771332462,0.2700487806487444,0.2599313553001429,0.37361682697667536,0.29326574981876374
Together AI,25.967559970025057,13.429778905712261,10.761617455921686,17.30083117910172,11.672306471808353,7.939938052151761,9.683672888520782,8.422631930570619
Windsurf,,,0.008940042380015554,0.027425162187212675,0.05421041052758251,0.05962488296725474,0.05201196237314001,0.7617910875857294
fal AI,,,,0.0649901842774283,0.09083373973907544,0.14496071935779656,0.4791287374018044,0.6072341882743592
xAI,,,0.0006229892875031938,0.028836723152485477,0.05277027068498258,0.09614707608509905,0.31424982784849564,0.6457771576848531
